grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name
ALL,966,39.2,49.3,10396,ALL,ALL,ALL,2013,Walter M Williams High,Alamance-Burlington School District,Alamance
ALL,889,53.9,63.1,10400,ALL,ALL,ALL,2017,Western Alamance High,Alamance-Burlington School District,Alamance
ALL,952,46.7,56.6,10400,ALL,ALL,ALL,2016,Western Alamance High,Alamance-Burlington School District,Alamance
ALL,1018,39.6,48.9,10400,ALL,ALL,ALL,2015,Western Alamance High,Alamance-Burlington School District,Alamance
ALL,989,39.7,51.1,10400,ALL,ALL,ALL,2014,Western Alamance High,Alamance-Burlington School District,Alamance
ALL,988,44,56.2,10400,ALL,ALL,ALL,2013,Western Alamance High,Alamance-Burlington School District,Alamance
ALL,1972,51.2,60.2,10403,ALL,ALL,ALL,2017,Western Middle,Alamance-Burlington School District,Alamance
ALL,2225,56,63.8,10403,ALL,ALL,ALL,2016,Western Middle,Alamance-Burlington School District,Alamance
ALL,2122,55.5,63.4,10403,ALL,ALL,ALL,2015,Western Middle,Alamance-Burlington School District,Alamance
ALL,2088,53.6,61.2,10403,ALL,ALL,ALL,2014,Western Middle,Alamance-Burlington School District,Alamance
ALL,2165,48.1,57.1,10403,ALL,ALL,ALL,2013,Western Middle,Alamance-Burlington School District,Alamance
ALL,1260,57.7,66.5,10406,ALL,ALL,ALL,2017,Woodlawn Middle,Alamance-Burlington School District,Alamance
ALL,1309,59.4,66.8,10406,ALL,ALL,ALL,2016,Woodlawn Middle,Alamance-Burlington School District,Alamance
ALL,1347,59,67.8,10406,ALL,ALL,ALL,2015,Woodlawn Middle,Alamance-Burlington School District,Alamance
ALL,1420,57,65.1,10406,ALL,ALL,ALL,2014,Woodlawn Middle,Alamance-Burlington School District,Alamance
ALL,1457,51.1,60.1,10406,ALL,ALL,ALL,2013,Woodlawn Middle,Alamance-Burlington School District,Alamance
ALL,885,43.1,52.8,20302,ALL,ALL,ALL,2017,Alexander Central High,Alexander County School District,Alexander
