school_code	grade_span	school_name
320316	06-08	George L Carrington Middle
320317	09-12	City of Medicine Academy
320318	0K-05	Club Boulevard Elementary
320319	0K-05	Creekside Elementary
320320	0K-05	Glenn Elementary
320322	08-12	Durham's Performance Learning Center
320323	06-12	Durham School of the Arts
320324	PK-05	Hillandale Elementary
320325	09-12	Hillside High
320327	0K-05	Hope Valley Elementary
320328	PK-05	Holt Elementary
320332	0K-05	Forest View Elementary
320338	06-08	James E Shepard Middle
320339	PK-05	Lakewood Elementary
320340	PK-05	Little River Elementary
320341	06-12	Lakeview School
320342	06-08	Lakewood Montessori Middle
320343	06-07	Lucas Middle
320344	0K-05	Fayetteville Street Elementary
320346	06-08	Lowe's Grove Middle
320347	PK-05	George Watts Elementary
320348	0K-05	Mangum Elementary
320352	PK-05	Merrick-Moore Elementary
320354	PK-05	Morehead Montessori
320355	06-08	Neal Middle
320356	09-12	Northern High
320360	PK-05	Oak Grove Elementary
320362	0K-05	Parkwood Elementary
320363	0K-05	E K Powe Elementary
320364	PK-05	Pearsontown Elementary
320365	09-12	Riverside High
320366	06-08	Sherwood Githens Middle
320367	PK-05	R N Harris Elementary
320368	09-12	Southern School of Energy and Sustainabi
320369	PK-05	Sandy Ridge Elementary
320370	06-08	Rogers-Herr Middle
320372	PK-05	Southwest Elementary
320374	PK-05	C C Spaulding Elementary
320376	PK-05	Spring Valley Elementary
320388	PK-05	W G Pearson Elementary
320389	07-08	WG Pearson Magnet Middle
320400	PK-05	Y E Smith Elementary
320700	09-12	Southern School of Engineering
320701	09-12	Hillside New Tech High
320LEA		Durham Public Schools
32A000	0K-08	Maureen Joy Charter School
32B000	0K-08	Healthy Start Academy
32C000	0K-08	Carter Community Charter
32D000	0K-12	Kestrel Heights School
32H000	0K-08	Research Triangle Charter
32K000	0K-05	Central Park School For Child
32L000	0K-11	Voyager Academy
32M000	0K-05	Global Scholars Academy
32N000	09-09	Research Triangle High
330304	PK-05	G W Bulluck Elementary
330308	PK-05	G W Carver Elementary
330312	PK-05	Coker-Wimberly Elementary
330324	07-08	C B Martin Middle
330326	09-13	Edgecombe Early College High
330328	09-12	North Edgecombe High
330330	04-06	W A Pattillo Elementary
